iter	Logloss
0	0.656163023711	0.62544888412	0.6011096723	3	0.5802687154	4	0.5611238665	5	0.5460031016	6	0.5339160097	77	0.523538368	88	0.514995689	9	0.5080642910	110	0.501844111111	0.4970735121212	0.49052213	1313	0.48468514	1414	0.48050115	1515	0.47764216	1616	0.47527017	1717	0.4731818	018	0.470878219	019	0.468204820	020	0.46604121	0.21	0.46490922	0.2222	0.462723	0.2323	0.461624	0.2424	0.460525	0.225	0.4598426	0.226	0.4592527	0.227	0.4583528	0.228	0.4575329	02929	0.4568930	03030	0.4565227973131	0.4561232	03232	0.455791281333	0.45544034	0334	0.45518335	0335	0.4549736	0.336	0.4548137	03737	0.4546138	38	38	0.4543282539	39	0.4542209840	40	0.454122441	041	0.454004242	042	0.453819543	043	0.453742144	044	0.453541845	045	0.453388146	046	0.453319747	047	0.453275648	048	0.453235749	049	0.453215450	50	0.4531382848
51	0.4531120491
52	0.4530453624
53	0.4529995251
54	0.4529635066
55	0.4528981518
56	0.4528501466
57	0.4528026976
58	0.4527618661
59	0.4526932695
60	0.4526696899
61	0.4526452911
62	0.4526164729
63	0.4525921697
64	0.4525643579
65	0.4525407583
66	0.4525169095
67	0.4524920014
68	0.4524695219
69	0.4524375087
70	0.4524117711
71	0.4523667055
72	0.4523430816
73	0.452316252
74	0.4522935852
75	0.4522785272
76	0.4522511044
77	0.4522339784
78	0.4522096052
79	0.4521899902
80	0.4521676215
81	0.4521514551
82	0.4521225899
83	0.4521084073
84	0.452085692
85	0.4520421399
86	0.4520129283
87	0.4519772003
88	0.4519468529
89	0.4519274532
90	0.4519084925
91	0.4518900446
92	0.4518716172
93	0.4518470994
94	0.4518275553
95	0.451801674
96	0.4517725612
97	0.451735543
98	0.4517116329
99	0.4516933691
